"municipio","cod_comunidad","comunidad","cod_calle","nombre_calle"
MP. GARCIA,"15-11-1-151101004-10",PRIVADAS DE EL VALLE,"15-11-1-151101004-1-43",EDIF PANORAMA
MP. GOMEZ,"15-3-1-150301009-6",URBANIZACION LOS COCOTEROS,"15-3-1-150301009-6-2",CALLE C Y F
MP. MARIÑO,"15-6-1-150601010-1",LA ARBOLEDA,"15-6-1-150601010-1-28",URB. JESUS AVILA
MP. TUBORES,"15-9-1-150901003-2",GUAYACAN SUR,"15-9-1-150901003-2PROV/1",CALLE LAS MARGARITAS Y AVENIDA
MP. TUBORES,"15-9-2-150902002-3",PUEBLO NUEVO (EL GUAMACHE),"15-9-2-150902002-3PROV/1",CALLE CEDEÑO B
MP. MARIÑO,"15-6-1-150601034-15-C2",LA AUYAMA SECTOR C2,"15-6-1-150601034-15-9",TORRE C-17 Y C-18
MP. MARIÑO,"15-6-1-150601034-15-C2",LA AUYAMA SECTOR C2,"15-6-1-150601034-15-7",TORRE C-15 Y C-16
MP. MARIÑO,"15-6-1-150601034-15",LA AUYAMA SECTOR C1,"15-6-1-150601034-15-6","TORRE C-8, C-10, C-11, C12"
MP. MARIÑO,"15-6-1-150601034-15",LA AUYAMA SECTOR C1,"15-6-1-150601034-15-3",TORRE C-03 Y C-04
MP. MARIÑO,"15-6-1-150601034-15",LA AUYAMA SECTOR C1,"15-6-1-150601034-15-2",TORRE C-05 Y C-06
MP. MARIÑO,"15-6-1-150601034-15",LA AUYAMA SECTOR C1,"15-6-1-150601034-15-1",TORRE C-01 Y C-02
MP. MARIÑO,"15-6-1-150601034-14",LA AUYAMA SECTOR B2,"15-6-1-150601034-14-6",B-20 Y B-21
MP. MARIÑO,"15-6-1-150601034-14",LA AUYAMA SECTOR B2,"15-6-1-150601034-14-5",B-15 Y B-17
MP. MARIÑO,"15-6-1-150601034-14",LA AUYAMA SECTOR B2,"15-6-1-150601034-14-2","B-13, B-14 Y B-16"
MP. MARIÑO,"15-6-1-150601034-14",LA AUYAMA SECTOR B2,"15-6-1-150601034-14-1",B-22 Y B-23
MP. MARIÑO,"15-6-1-150601034-13",LA AUYAMA SECTOR B1,"15-6-1-150601034-13-7",TORRE B-11 Y B-12
MP. MARIÑO,"15-6-1-150601034-13",LA AUYAMA SECTOR B1,"15-6-1-150601034-13-6",TORRE B-06 Y B-7
MP. MARIÑO,"15-6-1-150601034-13",LA AUYAMA SECTOR B1,"15-6-1-150601034-13-4",TORRE B-10 Y B-04
MP. MARIÑO,"15-6-1-150601034-13",LA AUYAMA SECTOR B1,"15-6-1-150601034-13-3",TORRE B-03 Y B-05
MP. MARIÑO,"15-6-1-150601034-13",LA AUYAMA SECTOR B1,"15-6-1-150601034-13-1",TORRE B-01 Y B-02
MP. MARIÑO,"15-6-1-150601034-12",LA AUYAMA SECTOR A2,"15-6-1-150601034-12-9","TORRE A-10, A-11 Y A-12"
MP. MARIÑO,"15-6-1-150601034-12",LA AUYAMA SECTOR A2,"15-6-1-150601034-12-8",TORRE A-17 Y A-18
MP. MARIÑO,"15-6-1-150601034-12",LA AUYAMA SECTOR A2,"15-6-1-150601034-12-4",TORRE A-02 Y A-03
MP. MARIÑO,"15-6-1-150601034-12",LA AUYAMA SECTOR A2,"15-6-1-150601034-12-11",TORRE A-08 Y A-09
MP. MARIÑO,"15-6-1-150601034-12",LA AUYAMA SECTOR A2,"15-6-1-150601034-12-10",TORRE A-15 Y A-16
MP. MARIÑO,"15-6-1-150601034-12",LA AUYAMA SECTOR A2,"15-6-1-150601034-12-1",TORRE A-19 Y A-20
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11-3",A-26 Y A-27
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11-20",A-25
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11-19",A-04 Y A-05
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11-17",A-21 Y A-23
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11-16",A-28
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11-1",A-30 Y A-31
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11PROV/5",A-29
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11PROV/4",A-06
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11PROV/3",A-22
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11PROV/2",A-24
MP. MARIÑO,"15-6-1-150601034-14",LA AUYAMA SECTOR B2,"15-6-1-150601034-14PROV/2",B-18 Y B-19
MP. MARIÑO,"15-6-1-150601034-14",LA AUYAMA SECTOR B2,"15-6-1-150601034-14PROV/1",B-24 Y B-25
MP. MARIÑO,"15-6-1-150601034-11",LA AUYAMA SECTOR A1,"15-6-1-150601034-11PROV/1",A-32
MP. MARIÑO,"15-6-1-150601034-12",LA AUYAMA SECTOR A2,"15-6-1-150601034-12PROV/2",TORRE A-7 Y A-1
MP. MARIÑO,"15-6-1-150601034-12",LA AUYAMA SECTOR A2,"15-6-1-150601034-12PROV/1",TORRE A-13 Y A-14
MP. MARIÑO,"15-6-1-150601034-13",LA AUYAMA SECTOR B1,"15-6-1-150601034-13PROV/3",TORRE B8 Y B9
MP. MARIÑO,"15-6-1-150601034-15-C2",LA AUYAMA SECTOR C2,"15-6-1-150601034-15PROV/4",TORRE C-13 Y C-14
MP. MARIÑO,"15-6-1-150601034-15-C2",LA AUYAMA SECTOR C2,"15-6-1-150601034-15PROV/3",TORRE C-22 Y C-24
MP. MARIÑO,"15-6-1-150601034-15-C2",LA AUYAMA SECTOR C2,"15-6-1-150601034-15PROV/2",TORRE C-21 Y C-23
MP. MARIÑO,"15-6-1-150601034-15-C2",LA AUYAMA SECTOR C2,"15-6-1-150601034-15PROV/1",TORRE C-19 Y C-20
MP. MANEIRO,"15-4-1-150401011-1",JOVITO VILLALBA,"15-4-1-150401011-1PROV/2","BLOQUES 6, 7, 10 Y 11."
MP. MANEIRO,"15-4-1-150401011-1",JOVITO VILLALBA,"15-4-1-150401011-1PROV/1","BLOQUES 13, 14 Y 15"
MP. GOMEZ,"15-3-1-150301004-3",FLOR DE MAYO,"15-3-1-150301004-3PROV/1",EL BRONCE
MP. MARIÑO,"15-6-1-150601008-7",URB LUISA CACERES,"15-6-1-150601008-7PROV/1",C Y EDIFICIOS
MP.PENIN. DE MACANAO,"15-7-2-150702006-1",PEDRO LUIS BRICEÑO I,"15-7-2-150702006-1PROV/3",CALLE DON JUAN Y CONUCOS
MP.PENIN. DE MACANAO,"15-7-2-150702006-1",PEDRO LUIS BRICEÑO I,"15-7-2-150702006-1PROV/2",CALLE CEDEÑO
MP.PENIN. DE MACANAO,"15-7-1-150701005-3",PATRIA NUEVA I,"15-7-1-150701005-3PROV/1",CALLE 3 Y 4
MP. MARIÑO,"15-6-1-150601010-1",LA ARBOLEDA,"15-6-1-150601010-1-27",NS-3 Y VILLAS DE COSTA AZUL
MP. MARIÑO,"15-6-1-150601010-1",LA ARBOLEDA,"15-6-1-150601010-1-25",EO-6 Y 7
MP. MARIÑO,"15-6-1-150601010-1",LA ARBOLEDA,"15-6-1-150601010-1-24","EO-3, NS-4 Y MATA DE COCO"
MP. TUBORES,"15-9-1-150901011-1",CHACACHACARE ABAJO,"15-9-1-150901011-1PROV/3",RAMON VASQUEZ
MP. TUBORES,"15-9-1-150901011-1",CHACACHACARE ABAJO,"15-9-1-150901011-1PROV/2",LA PLAYA
MP. TUBORES,"15-9-1-150901011-1",CHACACHACARE ABAJO,"15-9-1-150901011-1PROV/1",PRINCIPAL
MP. MARIÑO,"15-6-1-150601003-1",LA CHACALERA,"15-6-1-150601003-1PROV/1",BLOQUE I B
MP. MARIÑO,"15-6-1-150601010-1",LA ARBOLEDA,"15-6-1-150601010-1PROV/1",NS-6A
MP. MARIÑO,"15-6-1-150601016-4",BELLA VISTA LA PLAYA,"15-6-1-150601016-4PROV/1",EL CARNAVAL
MP. MARIÑO,"15-6-1-150601040-1",LOS OLIVOS I,"15-6-1-150601040-1PROV/6",GUAYACAN
MP. MARIÑO,"15-6-1-150601040-1",LOS OLIVOS I,"15-6-1-150601040-1PROV/5",LOS OLIVOS B
MP. MARIÑO,"15-6-1-150601040-1",LOS OLIVOS I,"15-6-1-150601040-1PROV/4",FE Y ALEGRIA
